id,category,sub_category,requirement,status
REQ-001,菜单管理,控制台警告,修复打开菜单管理页面时 ElTag 的 type 为空导致的 Vue warn（type 需为 primary/success/info/warning/danger 之一）,已完成
REQ-002,菜单管理,控制台警告,消除“Invalid prop: custom validator check failed for prop \\\"type\\\"”相关 Vue warn（<ElTag type=\\\"\\\">）,已完成
REQ-003,菜单管理,控制台警告,消除菜单管理页面其它同类 ElTag type 校验失败告警,已完成
REQ-004,菜单管理,交互文案,新增菜单的“新增”按钮名称改为“新增下级”,已完成
REQ-005,菜单管理,样式,菜单管理操作列按钮字体增大,已完成
REQ-006,菜单管理,样式,侧边栏“系统管理”的 new 标志需与“系统管理”同一行并在右侧显示（当前在文字下方）,已完成
REQ-007,菜单管理,表单显示,新增/编辑菜单时“上级菜单”下拉框展示中文（需对 meta.title 做本地化展示）,已完成
REQ-008,角色管理,查询表单,创建时间查询条件需明确标注开始时间与结束时间,已完成
REQ-009,角色管理,样式,状态字段按钮（启用/禁用）尺寸增大,已完成
REQ-010,角色管理,样式,操作列按钮字体增大,已完成
REQ-011,用户管理,查询表单,创建时间查询条件需明确标注开始时间与结束时间,已完成
REQ-012,用户管理,样式,操作列按钮字体增大,已完成
REQ-013,用户管理,表单交互,新增/修改用户时角色字段改为可多选的下拉框,已完成
REQ-014,导航清理,菜单/路由,删除“演示”目录/菜单,已完成
REQ-015,导航清理,菜单/路由,删除“项目”目录/菜单,已完成
REQ-016,导航清理,菜单/路由,删除“关于”页面菜单,已完成
REQ-017,导航清理,菜单/路由,删除概览页中的“分析页”（/analytics）,已完成
REQ-018,工作台,默认路径,登录后的默认路径改为“工作台”（/workspace）,已完成
REQ-019,工作台,404页面,找不到页面的返回按钮改为返回到“工作台”（/workspace）,已完成
REQ-020,工作台,页面内容,工作台页面仅保留最上方的个人信息内容,已完成
REQ-021,右上角个人信息,菜单项,移除“文档 / GitHub / 问题&帮助”菜单项,已完成
REQ-022,右上角个人信息,数据展示,名称与邮箱使用当前登录用户的数据,已完成
REQ-023,右上角个人信息,样式,移除“Pro”标志,已完成
REQ-024,登录页,品牌文案,左上角“Vben Admin Ele”改为“LGF”,已完成
REQ-025,登录页,主题,默认使用亮色主题,已完成
REQ-026,登录页,布局,登录框默认居中,已完成
REQ-027,登录页,功能移除,去掉“其他登录方式”入口/区域,已完成
REQ-028,登录页,功能移除,去掉“忘记密码”功能,已完成
REQ-029,登录页,功能移除,去掉“手机号登录”功能,已完成
REQ-030,登录页,功能移除,去掉“扫码登录”功能,已完成
REQ-031,登录页,功能移除,去掉“创建账号”功能,已完成
REQ-032,登录页,交互,账号登录由“下拉选择账号”改为“输入账号”,已完成
